Ref;Nombre;Pais;Aeropuerto;Descripcion;SitioWeb;FechaAlta
CI01;Montevideo;Uruguay;Carrasco;Capital uruguaya, conocida por su Rambla, arquitectura colonial y vibrante vida cultural.;https://montevideo.gub.uy;01/04/2024
CI02;Múnich;Alemania;Aeropuerto de Múnich;Ciudad alemana con rica historia, arquitectura barroca y vibrante vida cultural;https://www.munich.travel/es;23/06/2024
CI03;Ciudad de Panamá;Panamá;Tocumen;Moderno centro urbano con rascacielos, el Canal de Panamá y vibrante vida cultural.;https://www.atp.gob.pa/;25/06/2024
CI04;Buenos Aires;Argentina;Aeroparque Jorge Newbery;Vibrante capital argentina, conocida por su arquitectura, tango y vida cultural.;https://turismo.buenosaires.gob.ar/es;05/07/2024
CI05;Barcelona;España;Josep Tarradellas Barcelona–El Prat ;Ciudad catalana con arquitectura modernista, playas y vibrante vida cultural.;https://ajuntament.barcelona.cat;05/07/2024
CI06;Santiago de Chile;Chile;Arturo Merino Benítez;Capital chilena con moderna arquitectura, cerros y rica vida cultural;https://disfrutasantiago.cl;06/07/2024
CI07;Punta del Este;Uruguay;Laguna del Sauce;Famoso balneario uruguayo, con playas, vida nocturna y lujosos resorts;https://www.maldonado.gub.uy;15/07/2024
CI08;Madrid;España;Adolfo Suárez Madrid-Barajas.;Vibrante capital española con rica historia, cultura y arquitectura impresionante.;https://www.turismomadrid.es/es/;12/08/2024
CI09;Nueva York;Estado Unidos;John F. Kennedy;Ciudad icónica con rascacielos, cultura diversa y atracciones famosas;https://www.nyc.gov/;25/08/2024
CI10;Río de Janeiro;Brasil;Galeão Antonio Carlos Jobim; Ciudad costera de Brasil, famosa por sus playas y la estatua del Cristo Redentor.;https://riotur.rio/es/bienvenido/;01/07/2024
CI11;Sevilla;España;Sevilla-San Pablo;Sevilla, es un destino turístico fascinante que ofrece una rica mezcla de historia, cultura y belleza.;https://visitasevilla.es/;29/02/2024